Year,Count
1977,11073.075042776827
1978,10619.423470880889
1979,9509.466532460996
1980,9367.544209925842
1981,10852.5783062645
1982,9302.171028381865
1983,9155.712139423076
1984,10906.6656
1985,10907.90242477359
1986,11324.056652806652
1987,11847.3080833757
1988,13339.569942196531
1989,13182.483766233767
1990,14549.570432357043
1991,15274.346033551323
1992,13477.544736099351
1993,16843.11981159847
1994,15599.307538891106
1995,15493.529641185647
1996,14651.791959516446
1997,17333.742163230727
1998,11752.962050359713
1999,13539.247399366803
2000,12110.739672977625
2001,13090.42214532872
2002,12221.053670473084
2003,11905.5566659579
2004,10985.584915407464
2005,7115.983070688879
2006,9877.74050134006
2007,10950.02096122174
2008,9343.139242084268
2009,6843.414790018259
2010,5450.538790797218
2011,7633.777269704024
2012,7148.208276489313
2013,5307.572685287002
2014,4955.168
2015,3307.671063170823
2016,6904.051786908389
2017,7612.03643521233
2018,9525.8117981154
2019,5432.9581571923545
